ISIN,NAME,Country,Region,Years_With_Both_Scopes
FR0000131757,ERAMET,FR,EUR,"[2018, 2019, 2020, 2021, 2022, 2023, 2024]"
ES0132105018,ACERINOX 'R',ES,EUR,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
DE0008404005,ALLIANZ,DE,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
ES0171996087,GRIFOLS ORD CL A,ES,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
IT0000784196,BANCA PPO.DI SONDRIO,IT,EUR,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
BE0003810273,PROXIMUS,BE,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00BV9FP302,COMPUTACENTER,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00B0FYMT95,HELICAL REIT,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
FR0000120321,L'OREAL,FR,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0007370074,RICARDO DEAD - DELIST.13/10/25,GB,EUR,"[2020, 2021, 2022, 2023, 2024, 2025]"
IT0003132476,ENI,IT,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
SE0000806994,JM,SE,EUR,"[2013, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00B1YW4409,3I GROUP,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
CH0244767585,UBS GROUP,CH,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
DE0005470405,LANXESS,DE,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
FI4000440664,NELES DEAD - DELIST.01/04/22,FI,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]"
GB0001110096,BOOT (HENRY),GB,EUR,"[2019, 2020, 2021, 2022, 2023, 2024]"
NO0010208051,YARA INTERNATIONAL,NO,EUR,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
IT0001233417,A2A,IT,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
FR0000120859,IMERYS,FR,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
FR0010411983,SCOR SE,FR,EUR,"[2019, 2020, 2021, 2022, 2023, 2024]"
GB0009292243,VICTREX,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
